objid;objname;plastid;plastname
825674318;ВТ7U;2154;ВТ7U
962745792;ЕШ;1794;Ек5
1267381797;ВТ59-55/7;2008;ВТ55/7
1619909680;PYnm;1393;PYnm
38199342;ЕТ75;2040;ЕТ75(ЕТ75/7+ЕТ75)
38199342;ЕТ75;2111;ЕТ75
779189791;ЕТX-79;1879;ЕТ79/7
1146166972;ЕкY;1793;ЕкY
442824795;ЕТX/7;2082;ЕТX/7
206669828;Ек5-L;1792;Ек4
902447555;ВТX/7;1837;ВТX/7
1995890026;ВТX/5;1880;ВТX/5
206669828;Ек5-L;1732;Ек5+Y
1511456626;Ек5;1794;Ек5
631462443;ВТX/5+ВТX/Y;1880;ВТX/5
1542093347;ЕШ7;1795;Ек7
1112871066;ВТ7X-59;1805;ВТ7X
710392606;ВТ79/Y(7);2070;ВТ79/Y
1112871066;ВТ7X-59;1799;ВТ59
74584294;ЕШY;1793;ЕкY
779189791;ЕТX-79;1878;ЕТ79/5
1067878520;ЕТ79;1878;ЕТ79/5
1067878520;ЕТ79;1879;ЕТ79/7
821149810;Ек7;1795;Ек7
1596302916;Ек5+Y;1732;Ек5+Y
1584868119;ЕТ79/7+ЕТ77;165;ЕТ77/97-94
1584868119;ЕТ79/7+ЕТ77;1879;ЕТ79/7
1220645213;ЯТ9-7;1780;ЯТ9-7
1099243802;ЕТ79/7;1879;ЕТ79/7
175661706;ЕТ79/5-9;2175;ЕТ79/5-9
2072429805;ТР;1755;ТР
1067878520;ЕТ79;1210;ЕТ79/5-7
1129072582;ЕТ79/Y;2072;ЕТ79/Y
1067878520;ЕТ79;2072;ЕТ79/Y
22910479;ЕТ77/97-95;2046;ЕТ77/97-95
386117759;ЯТ9/Л+ЯТ9/Л7;1664;ЯТ9/Л
386117759;ЯТ9/Л+ЯТ9/Л7;1663;ЯТ9/Л7
1657028658;ЕТ79/5;1210;ЕТ79/5-7
1657028658;ЕТ79/5;2010;ЕТ79/5-5
1375467574;ЕТ77+ЕТ75;2139;ЕТ77
1375467574;ЕТ77+ЕТ75;1475;ЕТ75/5
969091483;ЕШ5-4;1214;Ек5-4
1375467574;ЕТ77+ЕТ75;1476;ЕТ75/7
375690318;ЕТ79-77;2150;ЕТ77/97-7
375690318;ЕТ79-77;1473;ЕТ77/9
375690318;ЕТ79-77;2062;ЕТ77/95
375690318;ЕТ79-77;2149;ЕТ77/97-5
1086736139;ВТ7+ВТ5;2184;ВТ7
1086736139;ВТ7+ВТ5;2183;ВТ5
894880963;ЕТU+ЕТ8;2171;ЕТ8
894880963;ЕТU+ЕТ8;2100;ЕТU
1468163420;ВТ76-7U+ВТ78-59;179;ВТ76/9+ВТ76-7U
1468163420;ВТ76-7U+ВТ78-59;178;ВТ78/9+ВТ78-59
940268378;ЕТ8;2171;ЕТ8
732397477;ЯТ5-4;1778;ЯТ5/7
732397477;ЯТ5-4;1645;ЯТ4
1714717507;ЕкL;1843;ЕкL
381352190;ЕТ8-X;2185;ЕТX
381352190;ЕТ8-X;2173;ЕТ8/5(Н)
381352190;ЕТ8-X;2174;ЕТ8/5(Г)
1353630220;ЕТ8-79;2171;ЕТ8
1353630220;ЕТ8-79;229;ЕТX-79
1992925456;Ек5-Y;1793;ЕкY
1992925456;Ек5-Y;1794;Ек5
381352190;ЕТ8-X;1881;ЕТ8-X
852058180;ЯЛ7;1591;ЯЛ7
992043061;ГЛ7;1573;ГЛ7
2047341634;ГЛ5;1572;ГЛ5
464579754;Теноман;1748;Теноман
705000769;ЯЛ5-L;1743;ЯЛ5-Y
705000769;ЯЛ5-L;1604;ЯЛ4
107081040;ЯЛU;1599;ЯЛU
5496823;У-7;1474;У-7
1333505781;Я-III;1618;Я-III
1510761359;Г74;1888;Г74
1140642168;В74;175;В74
253120687;Г79;1427;Г79
1350500476;РР;1706;РР
586700808;ЛРТ;1688;ЛРТ
324654240;Г75;1187;Г75
1554412927;ГL;1433;ГL
1913701159;Нижне-среднекембрийский ГЛ;1723;НТГ
1913701159;Нижне-среднекембрийский ГЛ;1722;ИШР
1913701159;Нижне-среднекембрийский ГЛ;1721;ШРТ
1604161265;У-7 (р-он скв.LY9-5Р);1474;У-7
1406605209;У-7 (р-он скв.LY9-4YР);1474;У-7
1513024419;В75;1842;В75
980736514;ТЛ;1699;ТЛ
1800480302;Г7Y;1426;Г7Y
1913701159;Нижне-среднекембрийский ГЛ;1376;вТЛВ
1913701159;Нижне-среднекембрийский ГЛ;1375;ЫЛГ
